Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-09-11,79.85,78.15,79.3,1828782,1448.528367,1261
2018-09-12,80.9,77.4,77.9,3358110,2638.912182,1477
2018-09-13,78.95,77.45,78.65,3915779,3063.475156,1719
2018-09-14,80.3,78.6,79.5,3721346,2963.666475,1698
2018-09-15,80.9,76.05,80.25,9768078,7715.706279,3090
2018-09-16,80.65,76.05,76.45,7243377,5623.394671,3831
2018-09-17,78.65,76.1,76.8,5132728,3976.07873,4465
2018-09-18,76.7,74.85,75.95,4017872,3046.185784,5033
2018-09-19,77.7,75.5,77,12997320,9987.264431,8272
2018-09-20,77.85,76.8,77.1,3477676,2685.012084,1046
2018-09-21,78,76.1,76.8,3602334,2774.019284,1093
2018-09-22,77.25,76.3,76.7,2153622,1652.479765,456
2018-09-23,76.95,74.4,74.85,2504768,1891.224723,1519
2018-09-24,76.25,73.85,74.2,4583837,3436.198288,1514
2018-09-25,75.55,73.7,75.05,3170169,2370.525197,1085
2018-09-26,75.75,74.25,74.7,1691362,1267.919334,735
2018-09-27,75.5,74.55,74.95,1684121,1263.172407,777
2018-09-28,75.5,73.85,74.35,2006348,1493.237721,1135
2018-09-29,75.1,73.9,74.9,1704653,1271.299103,905
2018-09-30,75.25,73.8,75,3214817,2401.912928,901
2018-10-01,75,73.7,74.3,3702534,2747.017423,792
2018-10-02,75.25,74.15,75.05,3099444,2324.067178,1009
2018-10-03,76.95,74.5,76.5,4222858,3223.057058,1734
2018-10-04,76.95,74.95,76,4496763,3416.049274,1333
2018-10-05,76.45,75.15,76,4009644,3040.862129,911
2018-10-06,77.2,75.45,75.95,5188679,3963.364629,1223
2018-10-07,77.5,74.9,76.35,4074882,3096.967576,2265
2018-10-08,77.95,74.85,75.2,5394325,4136.605746,3456
2018-10-09,75.75,74.3,74.55,3700318,2767.368225,1460
2018-10-10,75.3,73.45,73.95,3724093,2775.637374,1827
2018-10-11,73.95,69.65,70.95,5766908,4140.929398,4081
2018-10-12,72.4,68.5,71.05,12562431,8891.925809,7524
2018-10-13,71.5,67.9,68.15,4846733,3336.080045,5818
2018-10-14,72,67.9,71.3,7442257,5231.252694,9196
2018-10-15,72.3,70.25,71.5,3343602,2385.341208,1114
